Date,Page Views,Preview
01-2020,18.295,0
02-2020,33.485,0
03-2020,18.929,0
04-2020,16.597,0
05-2020,17.212,0
06-2020,21.814,0
07-2020,22.004,0
08-2020,14.234,0
09-2020,12.733,0
10-2020,17.051,0
11-2020,11.322,0
12-2020,15.865,0
01-2021,11.973,0
02-2021,8.252,0
03-2021,9.330,0
04-2021,8.507,0
05-2021,5.898,0
06-2021,5.760,0
07-2021,5.338,0
08-2021,9.544,0
09-2021,15.340,0
10-2021,7.132,0
11-2021,5.124,0
12-2021,6.452,0
01-2022,12.418,0
02-2022,21.816,0
03-2022,22.503,0
04-2022,22.549,0
05-2022,31.672,0
06-2022,21.154,0
07-2022,18.428,0
08-2022,21.123,0
09-2022,48.208,0
10-2022,28.448,0
11-2022,32.729,0
12-2022,41.170,0